id,lat,lon
93365,47.21091285,39.63767943664869
93366,61.0771764,41.9943256
93367,,
93368,,
93369,,
93370,47.4850494,40.101087250360116
93371,47.5417896,42.2043941
93372,47.9434941,41.9949081
93373,,
93374,47.4868546,40.0744177
93375,47.7078902,40.2172051
93376,61.0771764,41.9943256
93377,,
93378,,
93379,,
93380,47.1283203,39.737755858405
93381,48.306394600000004,39.91512784937068
93382,47.485340699999995,40.091591298273656
93383,,
93384,47.4001195,42.6355269
93385,47.8442066,39.45120479823433
93386,,
93453,47.711232249999995,40.213247135591295
93387,,
93388,,
93389,61.0771764,41.9943256
93390,,
93391,,
93392,,
93393,47.0022989,39.033887147448915
93394,,
93395,47.7380223,39.4922295
93396,,
93397,48.29865565,40.238480149999994
93398,48.0366569,41.8149447
93399,47.2878172,38.5827399
93400,48.193731299999996,41.2790880936047
93401,47.09949949999999,39.423581131638215
93402,,
93403,,
93404,47.901744,40.0801761
93405,47.405148350000005,42.75753432163314
93406,47.5952557,39.3844306
93407,,
93498,47.0918301,39.4483735
93408,48.2463771,40.8997406
93409,,
93410,47.25005715,38.92052255113863
93411,47.284019,39.70309860926789
93412,61.0771764,41.9943256
93413,,
93414,,
93415,47.6409265,42.0022297
93416,47.0937902,39.45062582747596
93417,48.3345094,39.94262955
93418,47.423120600000004,40.08592447406484
93419,47.8076869,40.28228865
93420,48.34529235,41.857806373036325
93421,47.64084615,42.09294948944412
93422,47.111071249999995,39.42334455314834
93423,48.333813649999996,39.94926884059953
93424,61.0771764,41.9943256
93425,,
93426,48.3548037,41.801563023641066
93427,47.1115863,39.41445542575836
93428,48.3383817,39.94798685
93429,,
93430,47.1408063,38.3815929
93431,48.7206965,40.37087310859836
93432,48.355649099999994,41.85161964710243
93433,47.2770356,38.6676178
93434,47.5162809,42.1982977
93435,,
93436,47.09924995,39.443789336317266
93437,48.3099636,40.288648
93438,47.8032474,39.8983043
93439,47.22755135,39.75126882574055
93440,61.0771764,41.9943256
93441,,
93442,47.10371965,39.423583550000004
93443,47.534070400000004,42.206568102839384
93444,47.2923212,39.69069664318182
93445,47.2783211,39.0543048
93446,47.88776595,40.086103931325766
93447,47.2289849,39.75885114437547
93448,,
93449,49.50901785,40.502511911960575
93450,48.3166849,41.1508289
93451,47.5312624,42.20494080978399
93452,47.901744,40.0801761
93454,47.23801125,39.83002229155147
93455,61.0771764,41.9943256
93456,47.4042171,39.1668159
